                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0386,                 6.3152,                 4.5219,                      0,                      0,                      0,                      0,                 5.3979,                 7.7429,                  4.162,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.9241,                 5.4672,                 4.2976,                      0,                      0,                      0,                      0,                 5.3994,                 7.6921,                  4.168,             0.00041584,             0.00041584,             0.00041584
                      3,                 3.8162,                 5.0318,                 4.1406,                      0,                      0,                      0,                      0,                 5.4011,                 7.3892,                 4.1821,             0.00062733,             0.00062733,             0.00062733
                      4,                 3.5184,                 4.5896,                 3.9659,                      0,                      0,                      0,                      0,                 5.3871,                 6.5008,                 4.1791,             0.00083446,             0.00083446,             0.00083446
                      5,                 3.6048,                 4.2399,                 3.7231,                      0,                      0,                      0,                      0,                 5.4116,                 5.9496,                  4.204,              0.0010372,              0.0010372,              0.0010372
                      6,                 3.3417,                 3.8032,                 3.5792,                      0,                      0,                      0,                      0,                 5.3549,                 5.8339,                 4.1631,              0.0012357,              0.0012357,              0.0012357
                      7,                  3.229,                 3.6894,                 3.3739,                      0,                      0,                      0,                      0,                  5.423,                 6.0256,                 4.2263,              0.0014297,              0.0014297,              0.0014297
                      8,                 3.0452,                 3.2473,                 3.2071,                      0,                      0,                      0,                      0,                 5.6508,                 6.1117,                 4.4977,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.8253,                 3.0671,                 3.1148,                      0,                      0,                      0,                      0,                 5.6947,                 6.1444,                 4.5817,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.7465,                 3.0079,                 3.0305,                0.00158,                0.15789,                0.05592,                0.01688,                  4.833,                 5.2519,                 3.9348,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.9094,                 3.0286,                 3.0861,                0.19352,                0.10526,                0.07157,                0.01113,                 3.9171,                 4.1252,                 3.4565,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.7205,                  2.859,                 2.8591,                0.31948,                0.36842,                0.22524,                 0.0648,                 3.2711,                 3.5809,                 3.1756,               0.001802,               0.001802,               0.001802
                     13,                 2.6097,                 2.6692,                 2.8747,                0.34288,                0.21053,                 0.1053,                0.01917,                  3.208,                  3.737,                 3.1155,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.6574,                  2.552,                 2.7341,                0.20007,                0.15789,                0.11059,                0.03615,                 3.0242,                  3.771,                 3.1039,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.4449,                 2.3736,                  2.623,                0.00592,                0.63158,                0.01099,                0.00392,                 3.0122,                 4.1071,                 3.0639,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.4838,                 2.2588,                 2.5952,                 0.0691,                0.05263,                 0.0334,                0.01381,                  2.231,                  3.618,                 2.7297,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.3625,                 2.0853,                 2.6231,                0.46027,                0.13699,                0.26821,                0.10435,                 2.4532,                  3.164,                 2.7824,               0.001703,               0.001703,               0.001703
                     18,                 2.3237,                  2.141,                 2.4958,                0.33435,                0.42105,                0.26093,                0.09691,                 2.7072,                 2.7412,                 2.7175,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1865,                 1.9697,                 2.3646,                0.29591,                0.36842,                0.27435,                0.09276,                 2.5226,                 2.3652,                 2.6294,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.0656,                 1.9396,                 2.3766,                0.48494,                0.42105,                0.39339,                0.14268,                  2.396,                 2.2174,                 2.5569,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.1189,                 1.9233,                 2.3511,                 0.2781,                0.52632,                 0.3009,                0.11074,                 2.3648,                 2.2991,                 2.5102,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.0609,                 1.8389,                 2.3486,                0.32232,                0.47368,                0.39958,                0.18945,                  2.105,                 2.0802,                 2.4257,               0.001604,               0.001604,               0.001604
                     23,                 2.1629,                 1.8467,                  2.413,                0.44962,                0.52632,                0.40806,                0.20576,                 2.0663,                 1.8578,                  2.351,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.1174,                 1.7409,                 2.3249,                0.34805,                0.52632,                0.34936,                0.09332,                 2.5131,                 2.4104,                 2.5447,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.1392,                 1.8296,                 2.2938,                0.10087,                0.36842,                0.07983,                0.03246,                 2.1987,                 5.3511,                 2.3985,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.9601,                 1.7563,                 2.3144,                0.40478,                0.63158,                 0.4428,                0.17664,                 2.1151,                 1.8714,                 2.4075,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.9699,                 1.6996,                 2.2701,                0.24401,                0.47368,                0.22512,                0.10747,                 1.9801,                  2.272,                 2.2893,               0.001505,               0.001505,               0.001505
                     28,                 1.8773,                 1.5535,                 2.1848,                0.16388,                0.47368,                0.12572,                0.03128,                 2.9601,                 3.0536,                 2.4705,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9582,                   1.65,                 2.2912,                 0.4192,                0.57895,                0.51193,                0.23636,                 2.0445,                 1.7618,                 2.1873,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.7763,                 1.4961,                 2.1068,                0.44495,                0.63158,                0.54805,                0.22559,                 2.2152,                 1.9492,                 2.2686,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.8079,                 1.4552,                 2.0677,                0.55576,                0.68421,                0.54636,                0.29588,                 1.9093,                 1.7043,                 2.1114,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.9102,                 1.4188,                 2.1012,                0.33529,                0.57895,                0.43278,                0.15306,                 2.2346,                 2.1551,                 2.3221,               0.001406,               0.001406,               0.001406
                     33,                 1.8887,                 1.5424,                  2.153,                0.63277,                0.52632,                0.54636,                0.23984,                 2.1361,                 1.7028,                 2.2579,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.7618,                 1.4307,                 2.0729,                0.55038,                0.78947,                0.71052,                0.32809,                 1.8874,                  1.617,                 2.2133,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.7381,                 1.3829,                 2.0207,                0.63678,                0.63158,                0.63901,                0.31869,                 1.8516,                 1.5844,                 2.1536,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6966,                 1.4322,                 2.0452,                  0.662,                0.47368,                0.57967,                0.28726,                 1.9928,                 1.6021,                 2.1192,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.705,                 1.3944,                 1.9875,                0.50751,                0.68421,                0.65451,                0.31792,                 2.0299,                 1.5455,                 2.1394,               0.001307,               0.001307,               0.001307
                     38,                 1.7974,                 1.4091,                 2.0579,                0.76095,                0.73684,                0.77612,                0.37796,                 1.8043,                 1.4469,                 2.0648,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7098,                 1.2561,                 1.9373,                0.60723,                0.65156,                0.74132,                 0.2945,                 2.1107,                 1.5884,                  2.148,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.648,                 1.3007,                 1.9158,                0.63638,                0.73684,                0.74364,                0.35017,                 1.7152,                 1.3971,                 2.0785,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.588,                 1.2765,                  1.908,                0.60533,                0.63158,                0.63967,                0.30076,                 1.7872,                 1.4688,                  2.148,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6066,                 1.2151,                 1.9237,                0.70405,                0.68421,                0.78424,                0.38787,                 1.8023,                 1.3882,                  2.074,               0.001208,               0.001208,               0.001208
                     43,                  1.543,                  1.195,                 1.8204,                0.51006,                0.78947,                0.68678,                0.27337,                 1.8945,                 1.5884,                 2.0881,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5978,                 1.2827,                 1.9194,                0.87257,                0.73684,                 0.8723,                 0.4487,                 1.6664,                 1.2772,                 1.9936,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6948,                 1.2249,                 1.9266,                0.78861,                0.73684,                0.80787,                0.41262,                 1.7798,                  1.408,                 2.0427,              0.0011486,              0.0011486,              0.0011486
                     46,                   1.56,                 1.1814,                 1.8529,                 0.6471,                0.84211,                0.74448,                0.35742,                 1.9063,                 1.2397,                 2.0708,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5999,                 1.1728,                 1.8631,                0.87429,                0.84211,                0.81269,                 0.4367,                 1.7171,                 1.1745,                 1.9678,               0.001109,               0.001109,               0.001109
                     48,                 1.5311,                 1.1429,                 1.8313,                0.81564,                0.69919,                0.79298,                0.41032,                 1.7951,                  1.439,                 1.9876,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5397,                 1.1749,                 1.8165,                0.65292,                0.73684,                0.68912,                0.31886,                 1.9357,                  1.525,                 2.0763,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5395,                 1.1706,                 1.8258,                0.57263,                0.84211,                0.70795,                0.37481,                 1.7391,                 1.2664,                 1.9343,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.488,                 1.1261,                 1.8008,                0.62206,                0.78947,                0.69453,                0.29724,                 1.7845,                 1.2612,                 1.9645,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5567,                 1.1082,                 1.8476,                0.78182,                0.78947,                0.78755,                0.35072,                 1.8159,                 1.2848,                 2.0081,                0.00101,                0.00101,                0.00101
                     53,                 1.4609,                 1.0779,                 1.7409,                0.75472,                0.73684,                0.81145,                 0.4074,                 1.7111,                 1.2534,                 1.9511,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5138,                 1.1182,                 1.7415,                0.77313,                0.73684,                0.78609,                0.41069,                 1.6894,                 1.2557,                 1.9271,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5404,                  1.131,                 1.8632,                0.81162,                 0.6805,                0.72883,                0.31736,                 1.8971,                 1.4968,                 2.0337,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5245,                 1.1362,                 1.7998,                0.68727,                0.73684,                0.73702,                0.35514,                 1.7698,                 1.2906,                 1.9841,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.368,                 1.0223,                 1.7333,                0.82522,                0.78947,                0.84024,                0.45854,                 1.5446,                 1.1388,                 1.8861,               0.000911,               0.000911,               0.000911
                     58,                 1.4773,                 1.1267,                  1.845,                0.93329,                0.73634,                0.83646,                0.45882,                 1.6194,                 1.1127,                 1.8565,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5454,                  1.068,                 1.7739,                0.73109,                0.85905,                0.86169,                0.46588,                 1.6554,                 1.1204,                 1.8546,              0.0008714,              0.0008714,              0.0008714
                     60,                   1.45,                 1.0347,                 1.7313,                0.86057,                0.89474,                0.91237,                  0.578,                 1.4732,                 1.0232,                 1.7874,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.395,                0.99213,                 1.6798,                0.95315,                0.78947,                0.89943,                0.48423,                 1.7184,                 1.0677,                 1.9098,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3915,                 1.0262,                 1.7063,                0.86567,                0.78947,                0.89094,                0.49705,                 1.6574,                 1.0415,                 1.8447,               0.000812,               0.000812,               0.000812
                     63,                  1.389,                0.98215,                 1.6949,                0.81117,                0.89474,                0.85502,                0.47432,                  1.719,                 1.0405,                 1.8755,              0.0007922,              0.0007922,              0.0007922
